room,00:1e:42:2f:e0:31:,00:1e:42:32:cb:b6:,00:54:af:22:50:c5:,08:16:05:10:52:c8:,0a:69:f5:58:af:5a:,0e:01:6c:2e:c1:06:,0e:7d:1d:b3:d1:ab:,10:13:31:a1:a7:79:,10:3c:59:0b:a8:76:,12:62:e5:cd:97:67:,14:8f:21:d7:bd:01:,1c:3b:f3:a4:a0:92:,20:83:f8:c7:d4:6d:,20:83:f8:c7:e4:cf:,20:83:f8:c7:e4:d0:,20:83:f8:c7:ea:93:,20:83:f8:c7:ea:94:,20:83:f8:c7:f0:e7:,20:83:f8:c7:f0:e8:,20:83:f8:c7:f7:71:,20:83:f8:c7:f7:72:,20:83:f8:c7:ff:cf:,20:83:f8:c7:ff:d0:,20:83:f8:c8:00:95:,20:83:f8:c8:00:96:,20:83:f8:da:f4:cd:,20:83:f8:da:f4:ce:,20:83:f8:da:fb:21:,20:83:f8:dc:54:15:,20:83:f8:dc:54:16:,20:83:f8:e0:3d:1e:,20:83:f8:e0:3d:1f:,20:83:f8:e0:5f:4a:,20:83:f8:e0:ae:f4:,20:83:f8:e0:b0:03:,20:83:f8:e0:b7:52:,20:b0:01:eb:ef:ef:,20:b0:01:fb:0d:f9:,22:b0:01:eb:ef:f7:,22:ba:36:24:15:91:,34:97:f6:62:8b:d7:,36:3f:d7:32:6a:0b:,38:01:46:29:32:e7:,3a:3d:90:e7:89:a7:,3c:89:94:97:d5:45:,40:ae:30:cd:ce:7e:,4a:66:2a:93:31:6f:,50:91:e3:f6:44:c2:,54:78:c9:2d:c7:1e:,5c:c5:63:7f:4e:c0:,5c:e2:8c:ae:5c:45:,5c:e7:bf:e3:c0:7a:,62:b5:3c:e8:07:27:,64:59:f8:ac:9b:ea:,64:64:4a:49:e0:6d:,66:19:3c:2b:34:a6:,6a:54:4b:b0:09:56:,6a:58:40:b4:b8:4c:,6a:58:40:b4:b8:4e:,6a:58:40:b4:b8:4f:,74:36:6d:16:50:11:,74:6f:f7:01:8a:30:,78:8a:20:da:4e:36:,7e:8a:20:da:4e:36:,80:16:05:07:b4:21:,80:16:05:f5:cb:e8:,82:8f:34:b5:34:30:,88:dc:96:75:25:d6:,90:9a:4a:37:02:ff:,90:9a:4a:b9:3f:2c:,9e:ae:d3:ad:cd:ab:,9e:ae:d3:ea:58:97:,Not Present,a2:ad:43:de:9b:ab:,a2:b5:3c:e8:07:23:,a2:b5:3c:e8:07:2b:,a4:91:b1:78:4e:28:,a4:91:b1:c0:02:c7:,a8:58:40:b4:b8:4d:,a8:63:7d:3c:b2:de:,b2:00:73:f7:cb:86:,ba:52:76:e6:b0:1b:,bc:15:ac:32:00:89:,bc:15:ac:37:ab:f9:,bc:15:ac:68:d2:99:,bc:15:ac:68:d2:9d:,bc:6b:ff:63:00:34:,be:ab:05:4e:ce:92:,c0:06:c3:60:5d:79:,c8:54:4b:ae:9e:29:,c8:54:4b:b0:09:55:,ca:2c:4f:a2:4d:a0:,ca:2c:4f:a2:50:a6:,ca:2c:4f:a2:64:a4:,ca:2c:4f:a2:67:62:,ca:c9:a3:43:6d:67:,cc:32:e5:9f:93:55:,ce:57:63:59:60:d8:,d6:92:5e:ab:6c:4a:,d8:ec:e5:ae:62:c8:,da:10:68:6a:7f:56:,da:1c:e5:ae:65:1d:,e4:8f:34:b5:34:35:,e4:c3:2a:7e:15:18:,f4:23:9c:98:92:03:,fa:6d:cc:8c:d0:02:,fa:8f:ca:9f:e2:be:
"Magazzino1
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.0,0.0,-73.0,-74.0,-48.0,-40.0,-66.0,0.0,-84.0,0.0,0.0,0.0,-78.0,0.0,-80.0,-75.0,0.0,-58.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,0.0,0.0,0.0,0.0,0.0,-80.0,-86.0,-84.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-79.0,0.0,-79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Magazzino1
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.0,0.0,-54.0,-47.0,-66.0,0.0,0.0,0.0,0.0,0.0,-78.0,0.0,0.0,-77.0,0.0,-52.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,-78.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Magazzino1
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,0.0,-72.0,0.0,-53.0,-40.0,-61.0,0.0,-78.0,-88.0,0.0,0.0,-73.0,0.0,-78.0,-74.0,0.0,-57.0,0.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Magazzino1
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,0.0,-73.0,0.0,-54.0,-27.0,-62.0,0.0,0.0,0.0,0.0,0.0,-76.0,0.0,-76.0,-71.0,0.0,-58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Magazzino1
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,0.0,-68.0,0.0,-50.0,-44.0,-54.0,-70.0,0.0,0.0,0.0,0.0,-82.0,0.0,0.0,-82.0,0.0,-62.0,-55.0,0.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,-88.0,0.0,0.0,0.0,0.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-90.0,-77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,-86.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Magazzino1
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,-51.0,-43.0,-55.0,0.0,0.0,0.0,-92.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,0.0
"Magazzino1
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,0.0,-82.0,0.0,-48.0,-45.0,-58.0,0.0,0.0,0.0,0.0,0.0,-78.0,0.0,0.0,-78.0,0.0,-58.0,0.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,-82.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Magazzino1
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,0.0,-78.0,0.0,-44.0,-43.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-83.0,-80.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,-78.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Magazzino1
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,-79.0,0.0,-77.0,0.0,-48.0,-43.0,-62.0,0.0,0.0,0.0,-106.0,0.0,-78.0,0.0,0.0,0.0,0.0,-58.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-84.0,-79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,0.0
"Magazzino1
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,0.0,-74.0,0.0,0.0,-33.0,-64.0,0.0,0.0,0.0,0.0,0.0,-78.0,0.0,0.0,-70.0,0.0,-58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Magazzino1
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,-73.0,0.0,-46.0,-33.0,-65.0,0.0,0.0,0.0,-90.0,0.0,-81.0,0.0,0.0,-69.0,0.0,-63.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Magazzino1
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,-79.0,-40.0,-31.0,-62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,-78.0,0.0,-70.0,-75.0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,-94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.0,0.0,-84.0,0.0,0.0,-103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Magazzino1
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,-43.0,-38.0,-58.0,0.0,0.0,0.0,0.0,-88.0,-68.0,0.0,0.0,-72.0,0.0,-70.0,0.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
